"dailyTxns","dailyVolumeToken0","dailyVolumeToken1","dailyVolumeUSD","date","pairAddress","reserve0","reserve1","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token1.decimals","token1.id","token1.name","token1.symbol","totalSupply"
"34","840.390779760845872531","28732.304993455449028667","29052.23493653157979858660802967305",1619049600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2148.529296515352093419","74303.597016173418386673","149070.6146460874459551132751482901",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11618.152341718671776974"
"33","400.066717548906453484","13323.449874957286831276","13388.14269317026288328132118366239",1618963200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2350.865632227587687974","78729.589692887373488072","158005.8185889550664719284207635017",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"12516.667197943513954102"
"28","404.580178327970070876","12169.495767560913192237","12197.63027476924356309066746994682",1618876800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2417.418968600738648658","76523.28594913284544279","152577.2072704193697945442398262138",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"12516.667197943513954102"
"23","160.380486921013512433","5044.970010955799707116","5050.254732988658869201964041893544",1618790400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2410.233200630511045698","76714.115392890246182349","152645.9377270505616576374241990691",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"12516.667197943513954102"
"35","536.139711635806208659","16767.451133419453421279","16581.11548172278026168181910933765",1618704000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2413.474849973594869768","77435.785883783234979436","154447.2916665681424944013410752731",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"12585.100260159222301851"
"26","144.495903178648527602","5227.988389793972430334","5211.092671638889654936596696409532",1618617600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2165.645759483390429235","75854.633649173863663251","151102.0374272498844574634999448296",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11802.955958553674901409"
"10","83.417302800513303788","3067.098571154134102647","3070.801382783282793753710282647694",1618531200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2124.015179096748230099","77325.670849523554516947","155691.0832218037211278410524736646",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11802.955958553674901409"
"26","281.729737027362440031","10608.601570370409092315","10632.69080975418026878587684957335",1618444800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2090.398156085006818441","79630.851545984278849574","159854.0726771224900263369770928871",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11883.133133634547584841"
"15","212.212509208665268183","7508.11645798234934506","7537.669507754071658336386846448415",1618358400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2161.13172502386452275","78206.87628922297085668","156427.7245944475479470899935539534",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11976.376020337539848563"
"17","143.888325909558260689","5097.03591311755527532","5086.279661276745789299395209344059",1618272000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2157.624047963930376229","76117.635612774894921871","152716.6594283411638239707963126336",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11807.460342886631690503"
