"dailyVolumeETH","dailyVolumeUSD","dailyVolumeUntracked","date","totalLiquidityETH","totalLiquidityUSD","totalVolumeETH","totalVolumeUSD","txCount"
"774905.0808670011397215552095744285","407930727.6402278792061640072493252","413424033.4305384456536904290700512",1605916800,"3093000.999806374266509036832409118","1704225629.43272860251639335144658","0","0","18221407"
"665504.5921446165367452954464512627","330815735.5759383754329268049612901","336933985.8124997965464918666422438",1605830400,"3319364.964466863665417531732592864","1686278145.756603652109741715518509","0","0","18063145"
"587514.5911964947117038380774267709","278384757.6404387417452507201985441","288863862.8087894763865268134604595",1605744000,"3438411.95061914692764356136394946","1614813965.033373776554540059841765","0","0","17917678"
"675182.0408624655056914873640656414","322726444.6153325816967957325000309","334479176.591882663665823155281878",1605657600,"3438378.801091165292239473036539351","1646127035.954906911117848793273975","0","0","17772213"
"908764.3696620389653666229852855531","423795648.0097218205046404637562739","437625864.6855554514398165312717682",1605571200,"3673438.8417761427043679155993606","1772611155.886897823701669487091327","0","0","17641370"
"660086.4478689232846832768186669871","301030396.1079061707594314238284764","309487697.8353973331494978579240358",1605484800,"6607003.779084273621543689853729721","3046708276.618143163992231092074023","0","0","17488036"
"552193.9104906225859251662841280503","250197834.2085971418984693812909148","259402048.7209944144150105903374818",1605398400,"7149988.018820003428812975346724723","3202608662.436584654911675138829459","0","0","17342123"
"916567.2807999891130171944478677691","419383187.1988639300931475217657391","423102347.168002081583496408236357",1605312000,"7202412.797525329361733445216772979","3320301093.098923010833132982111415","0","0","17199521"
"584167.9008803307114582839274355706","272761592.4826514450734167576229269","280011626.0473463455364756528512873",1605225600,"7095645.968849587779916808844012334","3372990791.485036276759404084937741","0","0","17075120"
"540171.7298960790341152926266294522","248008225.6799584244001840034786032","252877753.4029249613610147449772589",1605139200,"7109993.381050805310714068839626853","3285401847.049501654753924358316397","0","0","16935728"
"556038.6646992404297788176048517229","257333920.7332346387585778816080142","262018137.9010237231291887481043885",1605052800,"7171457.788308277599160095495764208","3325952275.694556797543702670621527","0","0","16817359"
"575728.4425360962434452811141040393","257551030.9228845063116107865346147","264687387.4066162314841648628444746",1604966400,"7217334.823221981031149502665035653","3249826668.642681912546729386374345","0","0","16700886"
"601472.2177917388317561705421867352","269085593.8243261727646588103259779","277245320.9953046446442611758346163",1604880000,"7256274.69081097329776846428487081","3217091719.444360649975008482152545","0","0","16556511"
"485483.66643213366153934407994712","216514816.7225096681028674615112571","223451907.827554637699122244538144",1604793600,"6847449.227718702557373654069364397","3113029829.636340016232681372080269","0","0","16421904"
"951159.8330709540893323191611004929","427484103.9960560481310292106305014","433025471.7775598243424363350184907",1604707200,"6928689.110755991380067591109116033","3018763018.912946881249430626287713","0","0","16302031"
"879171.5704553305688869383674681648","384408896.9289982309871214938177964","797619183.3455088684111372597432425",1604620800,"6810345.428961229114880190294791232","3098931002.265986198776886090538456","0","0","16172940"
"769805.0489527283375503887844552375","313791188.9261331192660911622197662","320918993.7545478230109003906068974",1604534400,"7210835.243571336434995222937379395","2990448164.178723694682951780522032","0","0","16040674"
"630885.5829715044398047802711712279","246407981.5564447977393748673178388","253302423.7227605807084359925438823",1604448000,"7347659.403853142805489580855907247","2945185150.938860956130141088822403","0","0","15902200"
"625062.844873733269162738072329312","236797227.5919757376380480916801009","245226874.3758733398392503858812182",1604361600,"7421573.010209598899635217116604503","2873657088.990940453798685135595328","0","0","15768771"
"616803.6281300445357747381659116899","240393867.6204936576899772357970653","246520304.9167662177242982754727056",1604275200,"7569555.553968858125418747497417856","2895581459.804634099357429566853241","0","0","15624887"
"485452.6753552710335540269877780971","188590565.9783217159552801812254849","198283198.6362417670675324389198668",1604188800,"7644248.449809963968911672423080009","3015018143.610337491242443245592832","0","0","15472357"
"643310.8131659937142432356035576978","248358980.2877548487305199639813337","253821838.024752393597023681700337",1604102400,"7764077.019766466062013503824150319","2996107124.67428792930121482913518","0","0","15316555"
"957140.3108253039671752280445292096","365066260.8144270512778694909152928","373425630.1400131968745683861491865",1604016000,"7625055.894226173452420821454246653","2921059141.548300126072954790440804","0","0","15159194"
"914156.1257284832177065213214518115","354698525.0713741166335275956025916","361145518.2835403857431402384400633",1603929600,"7626410.750120936051927673802425999","2937316088.399896900338263758851751","0","0","14992943"
"1069694.04624821376516278228727686","417068364.3283202453538552133353451","422127691.0220195515163275015665406",1603843200,"7669179.655648368280600001715421673","2970673936.414014124149400691485811","0","0","14811122"
"555989.2954451696311899165750765887","222035532.2713836305168934836462534","230871340.6281525094390055847977925",1603756800,"7572762.195992938121843678939853234","3054669666.31479112730480083282363","0","0","14634703"
"5439818.368827728888660096086811019","2217726385.387546764510427749644596","2225654300.441117430455387800637433",1603670400,"7632590.236777192452687934623741788","3000014098.476864750327752134400375","0","0","14486609"
"428728.8518305564105159980326972115","175155753.7794888021082395148065736","182912179.2637121476789293015366372",1603584000,"7350881.434048980777420756220459017","2980186985.742524332751515085169357","0","0","14334465"
"378302.0438227582105975618672889747","155659870.7571017662921548934152942","162273616.8927528986638516525190511",1603497600,"7156417.185299980298032168767411204","2938355817.845812966411121314512321","0","0","14199138"
"591357.9427436085587270698281102388","242898515.822429886894364717209484","251833382.6294339463493251508113438",1603411200,"6986916.292581152792263879500298767","2850105637.87068020309185544656718","0","0","14066993"
"652888.3242162517222809585026750401","265320848.1424301420338277904437121","274381942.5285302856314004934240988",1603324800,"7163587.508241062222431793204687719","2962710427.3340277104572331885689","0","0","13921390"
"803058.52043836063987582786922932","309262645.8903355213202811453844103","321523560.6227663598385982429115667",1603238400,"7585420.826092561529807634290688455","2968732930.195870801171976350411591","0","0","13778264"
"617200.7501316930888498754608177671","229641304.3427038695070894000174611","240619256.2389002366912124708772915",1603152000,"7953256.880983992927808253846309846","2925253113.67611947721474486561268","0","0","13622334"
"527763.802772306684054475205144373","198901496.5396608692245804001336835","210935236.0878000662071675684012448",1603065600,"7950779.735211555864934569606980989","3007199191.338450740524262761645936","0","0","13465491"
"458629.7215763281839748546218660998","170656259.5514869772264521084019519","179864321.5796573197176096144174841",1602979200,"7933391.501443859292255153764440826","2985800235.811126392513417894354479","0","0","13292145"
"451237.9832084009271041300463792865","165263515.1082886580775226142313427","172445357.6678893681981430107669609",1602892800,"7992378.351734259431851968678296078","2930206797.400468965991402767841419","0","0","13153380"
"581875.8005562606809616557179062977","214451273.9706700523263383308297493","223273331.0899809859509501144440383",1602806400,"8027049.076036780215878714713360322","2930422249.367621359131087808680531","0","0","13015304"
"659659.666287139921864567519240967","247928536.684937933172726583114231","260506529.074268278060519737278534",1602720000,"8047977.299255655412632414600661805","3036173796.700336721795257387446942","0","0","12882208"
"654763.7617273030302118252350556012","248051334.7018956538060590674246877","259639662.2620924182599185488269592",1602633600,"7938780.062375415621401264273381186","2994503613.39491729355228453674425","0","0","12738168"
