"createdAtBlockNumber","createdAtTimestamp","id","liquidityProviderCount","reserve0","reserve1","reserveETH","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token0Price","token1.decimals","token1.id","token1.name","token1.symbol","token1Price","totalSupply","trackedReserveETH","txCount","untrackedVolumeUSD","volumeToken0","volumeToken1","volumeUSD"
"11193946","1604535853","0xc09ac594bb50fefa5853872655c8e14a8adc18ac","1","0.000000000000000007","0.000000000000164497","0.00000000000000000006533998523015677645092236116397548","0.0000000000000001638118175460571517475996237193314",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.00004255396754956017434968418876940005",18,0x20ae0ca9d42e6ffeb1188f341a7d63450452def6,Cipher,CPR,"23499.57142857142857142857142857143","0","0.0000000000000000001306799704603135529018447223279509","25","803.2650512607449633260882690362019","51.552058225884195976","1459162.825462698930172071","0"
"11190358","1604488939","0x965c4c8ea7a26a19e7b66eff93abd20189368c5c","2","0.709630968550133186","0.009558231290883793","0.006672401373947421985010764017132956","26.16093344087888281305152951477342",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"74.24291659764992106729122510177042",18,0x990f341946a3fdb507ae7e52d17851b87168017c,Strong,STRONG,"0.01346929843043981268483388180777522","0.081771245266355099","0.01045279840488904286034069877533411","105","9248.709016867839394036422611595068","3601.380116302613547944","228.815645915624830078","0"
"11188041","1604457646","0x94aca7e7b8a59189a64d63a79c34e07f3581e2c5","1","0.000025221900175233","136425.959682830946174668","0.0000002094959905346650075689425330821154","0.0006763081677509721725594791689819506",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.000000000184876105939587887787419138169436",18,0x4b824d4765708c44475c781fa4594ae37d1f130f,Uniswap V2,UNI-V2,"5409027818.482777842211545933325569","1.848499999999999","0.0000004189919810693300151378850661642307","4","3.543566475437053451123884997302107","1.848522122591443681","4286795.871790255057318922","0"
"11185666","1604426820","0x925faccff1667f41e1eed0d16daca389d1112b01","9","0.676409877613177418","1459.842699798059927582","0.01127177029894553158932805897599846","24.43552833075753565196666212305211",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.0004633443573795623398902501561507844",18,0x5bf4a9f93b9cbe4ee8c211781e176994b57e569f,YFIN STAKE 2,YFIN2,"2158.222030922069038903891622959211","31.194356060586371293","0.02254354059789106317865611795199692","45","518.1702016750650470884395923455886","250.00706136356509654","1938.286091219840960699","558.6154204581765356994569105278032"
"11185483","1604424215","0x8eb9b73afa3c191cd4dddb3f5e605007b9072a24","1","0.000000000000000033","0.000000000000031091","0.0000000000000000004107957258052359738481358280041557","0.0000000000000001858809250908581295692462541094956",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.001061400405261972918207841497539481",18,0x79c5a1ae586322a07bfb60be36e1b31ce8c84a1e,Freight Trust Network,EDI,"942.1515151515151515151515151515152","0","0.0000000000000000004032500433197439063701718834779773","8","103.9206718052537362618863612288919","47.986230616201826364","31114.599001134810992597","0"
"11184768","1604414500","0xd06f1ff1e5baf695f9aa67e705dbfe0170fb7bc4","1","0.000011751768271314","0.000003425262996375","0.00000007498453658032119923037275612034945","0.00003989595427480366013225891256177732",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"3.43090976773201004069717752987939",18,0x3193271d8cb966234ca9bd1eda066fdc2dddae30,HOPE COLLATERAL COIN,HCC,"0.2914678810282574780832425037086457","0.000006334993435163","0.0000001499690731606423984607455122406989","2","0.6812009792413194898084879395207587","0.401309666594035201","0.000003425162996375","0"
"11181104","1604365603","0xf2a4bd0500932bc1129285e48d7ad2d27af97e60","15","147.713995733615718522","6987.783164447753089695","2.386256923603506762900344613498147","4274.25790303648508152068513045896",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.02113889230065850311517341014434307",18,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,pub.finance,PINT,"47.30616844898957835692375775765565","907.354890106085115612","2.411828224736342427818526970963278","121","30572.08020592847701241731590195795","2660.446869789993761075","279059.362124942075371304","29495.42730187382213263081075205913"
"11173048","1604258399","0x89063a6af2913005e3099f0bc0504e02616385fe","1","0.000000000000000073","0.000000000000014054","0.000000000000000001199052708989228057006746765561474","0.0000000000000005696493843494462661406436926597333",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.005194250747118258147146719795076135",18,0x5a731151d6510eb475cc7a0072200cffc9a3bfe5,KingToken,$KING,"192.5205479452054794520547945205479","0","0.000000000000000001166542614913761509158353246821088","35","848.3606962562756354301646089009567","261.154773005570312774","65120.967809288511162296","0"
"11172289","1604248395","0x7065fe2050c833401e472d6d5219e86daa4c47df","0","0","0","0","0",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0",18,0xa4bad5d040d4464ec5ce130987731f2f428c9307,SporeFinance,SPORE,"0","0","0","0","0","0","0","0"
"11169517","1604212051","0xd714bb0756f793b8bf74544f22ab6f74e0c0672b","3","0.000000000010080104","185.013166861385915778","0.0000122477770624578371931839764577519","0.006789124724177364434375175822739711",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.00000000000005448317096021676580543649299690775",18,0xba7435a4b4c747e0101780073eeda872a69bdcd4,AirdropToken,AIRDROP,"18354291469749.31169142699321356208","0.000000000000333866","0.0000000000001256831756121222262914474032176942","7","300.8897400526732540812070021925668","239.196358295267709485","2610071.717817176308522671","0"
