"hourStartUnix","hourlyTxns","hourlyVolumeToken0","hourlyVolumeToken1","hourlyVolumeUSD","pair.id","pair.token0.decimals","pair.token0.id","pair.token0.name","pair.token0.symbol","pair.token1.decimals","pair.token1.id","pair.token1.name","pair.token1.symbol","reserve0","reserve1","reserveUSD"
1602828000,"4","112.386856597502657845","356.422309075930561829","358.0643190108438880488789067875251",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6616.403122612643036035","20839.712917570580350876","41988.76365149513283723907118468713"
1602824400,"13","1411.44548461489961398","4516.192178138075815969","4529.369971858492106324652920346336",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6531.98104410414569388","21107.976275461776349719","42462.25661436560332538905956333126"
1602820800,"4","149.668051545671271316","448.934078114372775222","449.554619235075485232619940488146",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6810.411679867571022918","20039.619656756724327018","40235.53965708760995815730667379555"
1602817200,"1","9.956204609489508904","30.6716125","30.84299900787164299432591242282309",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6660.743628321899751602","20488.55373487109710224","41237.13619188325168159403378038833"
1602813600,"3","3.662560771167658229","11.260040638914298721","11.3456682963030637324291394905745",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6670.699832931389260506","20457.88212237109710224","41263.14525176209124089186284662724"
1602810000,"1","6.830879266238489349","20.96770394402192327","21.11576875398219961298182115056132",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6723.063848013442313689","20595.816892020723046448","41523.76698397938147649887838175498"
1602806400,"5","106.934963650780820402","325.073701800356886326","328.745539730438944496181344796276",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6729.894727279680803038","20574.849188076701123178","41479.1016171671857783387219630705"
1602802800,"6","39.829003145481331884","122.22042864981827905","123.2067017608711853711900523257941",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6712.817689480533752278","20626.21106194830025346","41676.30784690120760056920502463102"
1602799200,"2","5.036218511500019937","15.513416431448818862","15.61251752022269611506972071288316",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6696.807085076553017126","20675.155711545076498334","41567.68447599246788671880167554652"
1602795600,"4","27.106573856645760334","83.900181937251303335","84.43745300047860697265184294422284",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6696.865731285944923999","20706.422231645761739002","41686.52280805406561945125707759703"
1602792000,"6","171.106833981944947527","529.328058249472193997","535.203321551546912804762335382008",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6669.759157429299163665","20790.322413583013042337","41872.11696936793574455165571333531"
1602788400,"1","11","33.10922273502511441","33.31047993155955329604565736585683",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6782.51820403166333518","20443.120677629395371828","41106.38861724195125439097918242547"
1602781200,"4","144.379012249458157439","432.214052782093793033","436.3835469911399409768525658104123",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6771.51820403166333518","20476.229900364420486238","41253.08667292651929257597410285554"
1602777600,"3","22.214354039008659561","67.017702171256830808","67.47740817792662729269636368249642",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6780.097322991103182003","20449.021544722263194421","41133.11610469041069470982702588618"
1602774000,"1","1.0966035581568554","3.338617516847918492","3.351449002900978710715834333233996",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6757.882968952094522442","20516.039246893520025229","41248.27718717468595722486398178343"
